schema_table,key,detail,note
ais_field_dictionary.csv,mmsi,Maritime Mobile Service Identity,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,base_date_time,Full UTC date and time,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,longitude,Longitude,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,latitude,Latitude,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,sog,Speed Over Ground,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,cog,Course Over Ground,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,heading,True Heading,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,vessel_name,Vessel name,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,imo,International Maritime Organization Vessel number,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,call_sign,Call sign,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,vessel_type,Vessel type as defined in NAIS specifications,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,status,Navigation status,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,length,Length of vessel,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,width,Width of vessel,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,draft,Draft depth of vessel,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,cargo,Cargo type,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_field_dictionary.csv,transceiver,AIS transceiver class,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,0,under way using engine,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,1,at anchor,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,2,not under command,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,3,restricted manoeuvrability,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,4,constrained by her draught,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,5,moored,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,6,aground,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,7,engaged in fishing,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,8,under way sailing,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,9,reserved for future amendment of navigation status,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,10,reserved for future amendment of navigation status,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,11,power-driven vessel towing astern (regional use),SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,12,power-driven vessel pushing ahead or towing alongside (regional use),SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,13,reserved for future use,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,14,"AIS-SART (active), MOB-AIS, EPIRB-AIS",SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_navigation_status_lookup.csv,15,"undefined = default (also used by AIS-SART, MOB-AIS and EPIRB-AIS under test)",SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,mmsi,required_for_prototype=yes; Stable tracking key,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,imo,required_for_prototype=yes; Stable vessel identity where available,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,vessel_name,required_for_prototype=yes; Readable identity,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,base_date_time,required_for_prototype=yes; Time ordering and voyage reconstruction,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
ais_required_fields.csv,latitude,required_for_prototype=yes; Trajectory,SCHEMA/LOOKUP ONLY - not an actual AIS position observation
