feature,mean_abs_shap
Ship_SpeedThroughWater,0.349495
Ship_SpeedOverGround,0.13330008
Weather_Temperature2M,0.033046007
Environment_SeaFloorDepth,0.016979907
Weather_WindSpeed10M,0.006424879
Weather_ShortwaveRadiation,0.0053690975
Weather_DiffuseRadiation,0.0048219217
Weather_RelativeHumidity2M,0.004404056
Weather_SwellWavePeriod,0.0043087746
Weather_WindGusts10M,0.0035520704
Weather_WaveHeight,0.0033314691
Weather_WavePeriod,0.0031869248
Weather_WindWavePeakPeriod,0.00316138
Weather_OceanCurrentDirection,0.0031411743
Weather_SwellWaveHeight,0.0031167434
Weather_SwellWavePeakPeriod,0.0026422867
Weather_SurfacePressure,0.0024699918
Ship_Heading,0.002409602
Ship_Bearing,0.0024013873
Boiler_FuelType_RM380,0.002168277
Weather_SwellWaveDirection,0.0020433445
Weather_DirectNormalIrradiance,0.0017342863
Weather_DirectRadiation,0.0016339108
Weather_OceanCurrentVelocity,0.0016214398
GenEngine_RM380_Count,0.0013786667
Weather_WaveDirection,0.0013689778
Weather_WindDirection10M,0.0013046636
Weather_Precipitation,0.0012481096
Weather_SunshineDuration,0.0011918639
Weather_WindWaveDirection,0.0011571486
Weather_WindWaveHeight,0.0010737969
Weather_WindWavePeriod,0.0009787644
Weather_WeatherCode,0.0009234506
GenEngine_DM_Count,0.00019786376
