candidate_id,leg_id,vessel_class,origin_port,dest_port,distance_nm,speed_knots,fuel_type,cargo_tons,telemetry_row_id
C0000,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,10.01,DM,675.3965080634413,0
C0001,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,10.01,DM,1215.7137145141944,1
C0002,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,10.01,RM380,675.3965080634413,2
C0003,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,10.01,RM380,1215.7137145141944,3
C0004,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,17.72,DM,675.3965080634413,4
C0005,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,17.72,DM,1215.7137145141944,5
C0006,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,17.72,RM380,675.3965080634413,6
C0007,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,17.72,RM380,1215.7137145141944,7
C0008,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,24.99,DM,675.3965080634413,8
C0009,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,24.99,DM,1215.7137145141944,9
C0010,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,24.99,RM380,675.3965080634413,10
C0011,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,137.46,24.99,RM380,1215.7137145141944,11
C0012,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,10.06,DM,686.6403003083523,12
C0013,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,10.06,DM,1235.9525405550341,13
C0014,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,10.06,RM380,686.6403003083523,14
C0015,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,10.06,RM380,1235.9525405550341,15
C0016,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,17.54,DM,686.6403003083523,16
C0017,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,17.54,DM,1235.9525405550341,17
C0018,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,17.54,RM380,686.6403003083523,18
C0019,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,17.54,RM380,1235.9525405550341,19
C0020,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,24.92,DM,686.6403003083523,20
C0021,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,24.92,DM,1235.9525405550341,21
C0022,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,24.92,RM380,686.6403003083523,22
C0023,Yohohama->Nagoya,Container Ship,Yohohama,Nagoya,137.46,24.92,RM380,1235.9525405550341,23
C0024,Yohohama->Nagoya,Fish Carrier,Yohohama,Nagoya,137.46,10.03,DM,698.01227321238,24
C0025,Yohohama->Nagoya,Fish Carrier,Yohohama,Nagoya,137.46,10.03,DM,1256.422091782284,25
C0026,Yohohama->Nagoya,Fish Carrier,Yohohama,Nagoya,137.46,17.41,DM,698.01227321238,26
C0027,Yohohama->Nagoya,Fish Carrier,Yohohama,Nagoya,137.46,17.41,DM,1256.422091782284,27
C0028,Yohohama->Nagoya,Fish Carrier,Yohohama,Nagoya,137.46,25.0,DM,698.01227321238,28
C0029,Yohohama->Nagoya,Fish Carrier,Yohohama,Nagoya,137.46,25.0,DM,1256.422091782284,29
C0030,Yohohama->Nagoya,Tanker,Yohohama,Nagoya,137.46,10.09,DM,684.6767810026386,30
C0031,Yohohama->Nagoya,Tanker,Yohohama,Nagoya,137.46,10.09,DM,1232.4182058047495,31
C0032,Yohohama->Nagoya,Tanker,Yohohama,Nagoya,137.46,10.09,RM380,684.6767810026386,32
C0033,Yohohama->Nagoya,Tanker,Yohohama,Nagoya,137.46,10.09,RM380,1232.4182058047495,33
C0034,Yohohama->Nagoya,Tanker,Yohohama,Nagoya,137.46,17.83,DM,684.6767810026386,34
C0035,Yohohama->Nagoya,Tanker,Yohohama,Nagoya,137.46,17.83,DM,1232.4182058047495,35
C0036,Yohohama->Nagoya,Tanker,Yohohama,Nagoya,137.46,17.83,RM380,684.6767810026386,36
