status_code,status_description,use_in_optimization
0,under way using engine,underway_candidate
1,at anchor,exclude_or_port_state
2,not under command,exclude
3,restricted manoeuvrability,exclude_or_special_handling
4,constrained by her draught,draught_constrained
5,moored,exclude_or_port_state
6,aground,exclude
7,engaged in fishing,exclude_for_merchant_fleet
8,under way sailing,underway_candidate
9,reserved for future amendment of navigation status,special_or_reserved
10,reserved for future amendment of navigation status,special_or_reserved
11,power-driven vessel towing astern (regional use),special_handling
12,power-driven vessel pushing ahead or towing alongside (regional use),special_handling
13,reserved for future use,special_or_reserved
14,"AIS-SART (active), MOB-AIS, EPIRB-AIS",exclude
15,"undefined = default (also used by AIS-SART, MOB-AIS and EPIRB-AIS under test)",unknown
