solution_id,algorithm_source,leg,vessel_class,origin,destination,cargo_tons,speed_knots,fuel_type,predicted_fuel_rate,voyage_fuel_ASSUMED_UNIT,cost_usd_SCENARIO_INPUT,ghg_kgco2_SCENARIO_INPUT,feasible,constraint_summary,solution_total_fuel,solution_total_cost,solution_total_ghg
"NSGA-II-(11, 10, 11, 10, 10, 16)",NSGA-II,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,1215.7137145141944,24.99,RM380,0.7323542833328247,4.028388146735899,2215.6134807047442,12544.400688935588,True,"speed_bounds: passed (speed 24.99kn vs bounds [10.01, 24.99]kn); cargo_capacity: passed (cargo 1215.7t vs capacity 1350.8t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 5.50h vs deadline 8.25h); fuel_availability: passed (fuel RM380 availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel RM380 vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",183.54995321720975,119894.33518997561,577383.3916673476
"NSGA-II-(11, 10, 11, 10, 10, 16)",NSGA-II,Yohohama->Busan,Bulk Carrier,Yohohama,Busan,675.3965080634413,24.99,RM380,0.6884416937828064,22.822985419419922,12552.641980680957,71070.77659607364,True,"speed_bounds: passed (speed 24.99kn vs bounds [10.01, 24.99]kn); cargo_capacity: passed (cargo 675.4t vs capacity 1350.8t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 33.15h vs deadline 49.73h); fuel_availability: passed (fuel RM380 availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel RM380 vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",183.54995321720975,119894.33518997561,577383.3916673476
"NSGA-II-(11, 10, 11, 10, 10, 16)",NSGA-II,Yohohama->Shanghai,Bulk Carrier,Yohohama,Shanghai,1215.7137145141944,24.99,RM380,0.5918961763381958,21.989452185369387,12094.198701953163,68475.15410524028,True,"speed_bounds: passed (speed 24.99kn vs bounds [10.01, 24.99]kn); cargo_capacity: passed (cargo 1215.7t vs capacity 1350.8t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 37.15h vs deadline 55.73h); fuel_availability: passed (fuel RM380 availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel RM380 vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",183.54995321720975,119894.33518997561,577383.3916673476
"NSGA-II-(11, 10, 11, 10, 10, 16)",NSGA-II,Yohohama->Hong Kong,Bulk Carrier,Yohohama,Hong Kong,675.3965080634413,24.99,RM380,0.516825258731842,32.005939732221854,17603.26685272202,99666.49632613885,True,"speed_bounds: passed (speed 24.99kn vs bounds [10.01, 24.99]kn); cargo_capacity: passed (cargo 675.4t vs capacity 1350.8t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 61.93h vs deadline 92.89h); fuel_availability: passed (fuel RM380 availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel RM380 vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",183.54995321720975,119894.33518997561,577383.3916673476
"NSGA-II-(11, 10, 11, 10, 10, 16)",NSGA-II,Yohohama->Guangzhou,Bulk Carrier,Yohohama,Guangzhou,675.3965080634413,24.99,RM380,0.6377447247505188,39.563651331761875,21760.00823246903,123201.21024710647,True,"speed_bounds: passed (speed 24.99kn vs bounds [10.01, 24.99]kn); cargo_capacity: passed (cargo 675.4t vs capacity 1350.8t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 62.04h vs deadline 93.06h); fuel_availability: passed (fuel RM380 availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel RM380 vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",183.54995321720975,119894.33518997561,577383.3916673476
"NSGA-II-(11, 10, 11, 10, 10, 16)",NSGA-II,Yohohama->Singapore,Container Ship,Yohohama,Singapore,686.6403003083523,17.54,DM,0.3867179751396179,63.13953640170082,53668.6059414457,202425.35370385283,True,"speed_bounds: passed (speed 17.54kn vs bounds [10.06, 24.92]kn); cargo_capacity: passed (cargo 686.6t vs capacity 1373.3t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 163.27h vs deadline 244.91h); fuel_availability: passed (fuel DM availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel DM vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",183.54995321720975,119894.33518997561,577383.3916673476
"NSGA-II-(11, 10, 11, 10, 10, 10)",NSGA-II,Yohohama->Nagoya,Bulk Carrier,Yohohama,Nagoya,1215.7137145141944,24.99,RM380,0.7323542833328247,4.028388146735899,2215.6134807047442,12544.400688935588,True,"speed_bounds: passed (speed 24.99kn vs bounds [10.01, 24.99]kn); cargo_capacity: passed (cargo 1215.7t vs capacity 1350.8t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 5.50h vs deadline 8.25h); fuel_availability: passed (fuel RM380 availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel RM380 vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",190.84885396176026,104966.86967896814,594303.3312369215
"NSGA-II-(11, 10, 11, 10, 10, 10)",NSGA-II,Yohohama->Busan,Bulk Carrier,Yohohama,Busan,675.3965080634413,24.99,RM380,0.6884416937828064,22.822985419419922,12552.641980680957,71070.77659607364,True,"speed_bounds: passed (speed 24.99kn vs bounds [10.01, 24.99]kn); cargo_capacity: passed (cargo 675.4t vs capacity 1350.8t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 33.15h vs deadline 49.73h); fuel_availability: passed (fuel RM380 availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel RM380 vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",190.84885396176026,104966.86967896814,594303.3312369215
"NSGA-II-(11, 10, 11, 10, 10, 10)",NSGA-II,Yohohama->Shanghai,Bulk Carrier,Yohohama,Shanghai,1215.7137145141944,24.99,RM380,0.5918961763381958,21.989452185369387,12094.198701953163,68475.15410524028,True,"speed_bounds: passed (speed 24.99kn vs bounds [10.01, 24.99]kn); cargo_capacity: passed (cargo 1215.7t vs capacity 1350.8t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 37.15h vs deadline 55.73h); fuel_availability: passed (fuel RM380 availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel RM380 vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",190.84885396176026,104966.86967896814,594303.3312369215
"NSGA-II-(11, 10, 11, 10, 10, 10)",NSGA-II,Yohohama->Hong Kong,Bulk Carrier,Yohohama,Hong Kong,675.3965080634413,24.99,RM380,0.516825258731842,32.005939732221854,17603.26685272202,99666.49632613885,True,"speed_bounds: passed (speed 24.99kn vs bounds [10.01, 24.99]kn); cargo_capacity: passed (cargo 675.4t vs capacity 1350.8t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 61.93h vs deadline 92.89h); fuel_availability: passed (fuel RM380 availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel RM380 vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",190.84885396176026,104966.86967896814,594303.3312369215
"NSGA-II-(11, 10, 11, 10, 10, 10)",NSGA-II,Yohohama->Guangzhou,Bulk Carrier,Yohohama,Guangzhou,675.3965080634413,24.99,RM380,0.6377447247505188,39.563651331761875,21760.00823246903,123201.21024710647,True,"speed_bounds: passed (speed 24.99kn vs bounds [10.01, 24.99]kn); cargo_capacity: passed (cargo 675.4t vs capacity 1350.8t); draft_vs_port_depth: unavailable (no physical port depth (metres) in processed data); voyage_deadline: passed (voyage 62.04h vs deadline 93.06h); fuel_availability: passed (fuel RM380 availability=['DM', 'RM380']); fuel_vessel_compatibility: passed (fuel RM380 vs compatible set ['DM', 'RM380']); port_capacity: unavailable (no rated port throughput capacity in processed data)",190.84885396176026,104966.86967896814,594303.3312369215
