parameter_group,key,parameter,value,status
operational_cost,Bulk Carrier,operational_cost_usd_mean_per_voyage,255850.19,"DERIVED (mean of REAL Operational_Cost_USD observations, ship_performance.csv)"
revenue,Bulk Carrier,revenue_usd_mean_per_voyage,520190.29,"DERIVED (mean of REAL Revenue_per_Voyage_USD observations, ship_performance.csv)"
operational_cost,Container Ship,operational_cost_usd_mean_per_voyage,258542.53,"DERIVED (mean of REAL Operational_Cost_USD observations, ship_performance.csv)"
revenue,Container Ship,revenue_usd_mean_per_voyage,524561.18,"DERIVED (mean of REAL Revenue_per_Voyage_USD observations, ship_performance.csv)"
operational_cost,Fish Carrier,operational_cost_usd_mean_per_voyage,255015.35,"DERIVED (mean of REAL Operational_Cost_USD observations, ship_performance.csv)"
revenue,Fish Carrier,revenue_usd_mean_per_voyage,529726.58,"DERIVED (mean of REAL Revenue_per_Voyage_USD observations, ship_performance.csv)"
operational_cost,Tanker,operational_cost_usd_mean_per_voyage,253428.98,"DERIVED (mean of REAL Operational_Cost_USD observations, ship_performance.csv)"
revenue,Tanker,revenue_usd_mean_per_voyage,505964.99,"DERIVED (mean of REAL Revenue_per_Voyage_USD observations, ship_performance.csv)"
fuel_consumption,Poseidon (single vessel),instantaneous_fuel_mean,0.78206,"DERIVED (mean of REAL Consumer_Total_MomentaryFuel, CPS_Poseidon_model_ready.csv)"
fuel_consumption,Poseidon (single vessel),instantaneous_fuel_max,2.3916,REAL (observed maximum)
relative_fuel_cost_vs_hfo,A6::Coal-MEOH,relative_cost_vs_hfo_ratio,0.64734,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::NG-MEOH,relative_cost_vs_hfo_ratio,0.72837,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::E-MEOH,relative_cost_vs_hfo_ratio,0.52034,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::BIO-MEOH,relative_cost_vs_hfo_ratio,0.62949,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::CONV-LNG,relative_cost_vs_hfo_ratio,0.38355,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::E-LNG,relative_cost_vs_hfo_ratio,0.03548,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::BIO-LNG,relative_cost_vs_hfo_ratio,0.05373,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::CONV-LH2,relative_cost_vs_hfo_ratio,0.65525,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::E-LH2,relative_cost_vs_hfo_ratio,1.07196,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::BIO-LH2,relative_cost_vs_hfo_ratio,1.45862,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::CONV-LNH3,relative_cost_vs_hfo_ratio,0.57044,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::E-LNH3,relative_cost_vs_hfo_ratio,1.31584,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::BIODIESEL,relative_cost_vs_hfo_ratio,0.99117,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,A6::MDO,relative_cost_vs_hfo_ratio,1.08275,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::Coal-MEOH,relative_cost_vs_hfo_ratio,0.81333,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::NG-MEOH,relative_cost_vs_hfo_ratio,0.99569,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::E-MEOH,relative_cost_vs_hfo_ratio,2.84328,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::BIO-MEOH,relative_cost_vs_hfo_ratio,1.70933,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::CONV-LNG,relative_cost_vs_hfo_ratio,0.86116,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::E-LNG,relative_cost_vs_hfo_ratio,0.03017,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::BIO-LNG,relative_cost_vs_hfo_ratio,0.02138,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::CONV-LH2,relative_cost_vs_hfo_ratio,1.58956,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::E-LH2,relative_cost_vs_hfo_ratio,1.61182,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::BIO-LH2,relative_cost_vs_hfo_ratio,0.9671,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::CONV-LNH3,relative_cost_vs_hfo_ratio,1.62116,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::E-LNH3,relative_cost_vs_hfo_ratio,1.90177,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::BIODIESEL,relative_cost_vs_hfo_ratio,0.18037,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
relative_fuel_cost_vs_hfo,B6::MDO,relative_cost_vs_hfo_ratio,1.5949,"REAL (reference/literature, fig5_lifecycle_cost_vs_hfo.csv)"
absolute_fuel_price,ALL_FUELS,usd_per_tonne,SCENARIO_INPUT,SCENARIO_INPUT (no absolute fuel price source found in real data)
carbon_price,ALL,usd_per_tCO2,SCENARIO_INPUT,SCENARIO_INPUT (no real source found)
