parameter_group,fuel,parameter,value,status
GHG_by_fuel_chart_mean,HFO,GHG_reference_value_mean,0.048715,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,MDO,GHG_reference_value_mean,0.171669,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,Biodiesel,GHG_reference_value_mean,0.016709,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,Coal-Methanol,GHG_reference_value_mean,0.347643,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,NG-Methanol,GHG_reference_value_mean,0.056895,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,E-Methanol,GHG_reference_value_mean,0.28025,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,Bio-Methanol,GHG_reference_value_mean,0.018431,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,Conv-LNG,GHG_reference_value_mean,0.110016,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,E-LNG,GHG_reference_value_mean,0.279385,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,Bio-LNG,GHG_reference_value_mean,0.016802,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,Conv-LH2,GHG_reference_value_mean,0.087595,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,E-LH2,GHG_reference_value_mean,0.179073,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,Bio-LH2,GHG_reference_value_mean,0.078269,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,Conv-LNH3,GHG_reference_value_mean,0.37988,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
GHG_by_fuel_chart_mean,E-LNH3,GHG_reference_value_mean,0.098695,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,HFO,CII_reference_value_mean,0.034115,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,MDO,CII_reference_value_mean,0.02473,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,Biodiesel,CII_reference_value_mean,0.027504,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,Coal-Methanol,CII_reference_value_mean,0.022331,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,NG-Methanol,CII_reference_value_mean,0.025443,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,E-Methanol,CII_reference_value_mean,0.018211,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,Bio-Methanol,CII_reference_value_mean,0.019757,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,Conv-LNG,CII_reference_value_mean,0.026518,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,E-LNG,CII_reference_value_mean,0.01832,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,Bio-LNG,CII_reference_value_mean,0.021872,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,Conv-LH2,CII_reference_value_mean,0.010234,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,E-LH2,CII_reference_value_mean,0.00998,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,Bio-LH2,CII_reference_value_mean,0.010376,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,Conv-LNH3,CII_reference_value_mean,0.00697,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
CII_by_fuel_chart_mean,E-LNH3,CII_reference_value_mean,0.005142,DERIVED (mean of REAL fig1_ghg_cii_by_fuel.csv rows)
scenario::Current::GHG_like,HFO,value,0.00335,"REAL (reference/literature, fig1_scenario_comparison.csv)"
scenario::Current::GHG_like,MDO,value,0.00353,"REAL (reference/literature, fig1_scenario_comparison.csv)"
scenario::Current::GHG_like,Biodiesel,value,0.00249,"REAL (reference/literature, fig1_scenario_comparison.csv)"
scenario::Current::GHG_like,Coal-Methanol,value,0.00668,"REAL (reference/literature, fig1_scenario_comparison.csv)"
