generation,archive_size,best_fuel
0,1,350.9786497551982
1,1,350.9786497551982
2,2,350.9786497551982
3,2,350.9786497551982
4,2,350.9786497551982
5,2,350.9786497551982
6,3,347.1303396973885
7,1,291.0540260776265
8,1,291.0540260776265
9,1,287.25379426472165
10,2,282.20300578537046
11,1,257.14768807646624
12,1,253.00979004271738
13,1,253.00979004271738
14,1,253.00979004271738
15,1,223.95736105872163
16,2,223.95736105872163
17,2,223.95736105872163
18,2,223.95736105872163
19,2,223.95736105872163
20,2,223.95736105872163
21,2,219.7836662828871
22,2,219.7836662828871
23,2,219.7836662828871
24,2,219.7836662828871
25,3,219.7836662828871
26,3,219.7836662828871
27,2,214.97260212677116
28,2,214.97260212677116
29,2,214.97260212677116
30,2,214.97260212677116
31,3,213.11438950563024
32,3,213.11438950563024
33,2,199.55118532106246
34,2,199.55118532106246
35,2,199.55118532106246
36,2,199.55118532106246
37,3,199.55118532106246
38,3,199.55118532106246
39,1,196.69883890859768
40,1,196.69883890859768
41,1,196.69883890859768
42,1,196.69883890859768
43,1,196.69883890859768
44,1,196.69883890859768
45,1,196.69883890859768
46,2,196.69883890859768
47,4,196.5429706847193
48,4,196.5429706847193
49,5,195.92782814810994
50,5,195.92782814810994
51,3,194.2254837508474
52,3,194.2254837508474
53,3,194.2254837508474
54,4,194.2254837508474
55,4,194.06961552696902
56,4,194.06961552696902
57,4,194.06961552696902
58,4,194.06961552696902
59,4,194.06961552696902
