generation,best_fuel,front0_size
0,485.62171506583036,1
1,294.45503009477807,1
2,294.45503009477807,1
3,294.45503009477807,1
4,271.0108056509239,1
5,255.1194571102896,2
6,248.34520885070071,2
7,243.66628753499106,3
8,225.4887577655436,2
9,225.4887577655436,3
10,220.24933735073853,3
11,219.91376912695273,3
12,209.2637547685577,4
13,209.2637547685577,5
14,209.2637547685577,2
15,208.9281865447719,4
16,197.8380903575407,8
17,194.54134492509036,9
18,194.54134492509036,8
19,194.54134492509036,14
20,194.54134492509036,19
21,192.30662095083153,13
22,192.30662095083153,8
23,192.30662095083153,8
24,192.30662095083153,11
25,192.30662095083153,17
26,189.98317487928767,20
27,189.98317487928767,16
28,189.98317487928767,14
29,189.98317487928767,25
30,189.98317487928767,25
31,189.98317487928767,26
32,188.6368117395341,22
33,188.6368117395341,30
34,188.6368117395341,11
35,187.5098197215374,7
36,187.5098197215374,8
37,184.65747330907257,14
38,184.65747330907257,24
39,184.65747330907257,38
40,184.65747330907257,42
41,184.65747330907257,8
42,184.65747330907257,14
43,184.65747330907257,19
44,184.65747330907257,29
45,184.65747330907257,43
46,183.54995321720975,21
47,183.54995321720975,29
48,183.54995321720975,39
49,183.54995321720975,58
50,183.54995321720975,51
51,183.54995321720975,54
52,183.54995321720975,57
53,183.54995321720975,7
54,183.54995321720975,12
55,183.54995321720975,22
56,183.54995321720975,34
57,183.54995321720975,45
58,183.54995321720975,58
59,183.54995321720975,56
