origin_port,origin_port__STATUS,dest_port,dest_port__STATUS,distance_nm,distance_nm__STATUS,speed_kn_assumed,speed_kn_assumed__STATUS,voyage_time_hours,voyage_time_hours__STATUS,fleet_speed_source,fleet_speed_source__STATUS,ghg_hfo_reference_mean,ghg_hfo_reference_mean__STATUS,cii_hfo_reference_mean,cii_hfo_reference_mean__STATUS,cargo_tonnage,cargo_tonnage__STATUS,fuel_price_usd_per_tonne,fuel_price_usd_per_tonne__STATUS,carbon_price_usd_per_tCO2,carbon_price_usd_per_tCO2__STATUS
Yohohama,REAL, Nagoya,REAL,137.46,DERIVED,17.603,DERIVED,7.81,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, Busan,REAL,828.46,DERIVED,17.603,DERIVED,47.06,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, Shanghai,REAL,928.4,DERIVED,17.603,DERIVED,52.74,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, Hong Kong,REAL,1547.58,DERIVED,17.603,DERIVED,87.92,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, Guangzhou,REAL,1550.3,DERIVED,17.603,DERIVED,88.07,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, Singapore,REAL,2863.76,DERIVED,17.603,DERIVED,162.69,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, Suez Canal,REAL,5082.51,DERIVED,17.603,DERIVED,288.73,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, Antwerp,REAL,5088.73,DERIVED,17.603,DERIVED,289.09,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, Plymouth,REAL,5309.7,DERIVED,17.603,DERIVED,301.64,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, London,REAL,5156.48,DERIVED,17.603,DERIVED,292.93,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, Rotterdam,REAL,5063.89,DERIVED,17.603,DERIVED,287.67,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
Yohohama,REAL, Hamburg,REAL,4861.24,DERIVED,17.603,DERIVED,276.16,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, Busan,REAL,723.61,DERIVED,17.603,DERIVED,41.11,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, Shanghai,REAL,791.47,DERIVED,17.603,DERIVED,44.96,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, Hong Kong,REAL,1415.4,DERIVED,17.603,DERIVED,80.41,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, Guangzhou,REAL,1416.7,DERIVED,17.603,DERIVED,80.48,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, Singapore,REAL,2744.28,DERIVED,17.603,DERIVED,155.9,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, Suez Canal,REAL,4982.78,DERIVED,17.603,DERIVED,283.07,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, Antwerp,REAL,5047.16,DERIVED,17.603,DERIVED,286.72,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, Plymouth,REAL,5277.38,DERIVED,17.603,DERIVED,299.8,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, London,REAL,5119.78,DERIVED,17.603,DERIVED,290.85,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, Rotterdam,REAL,5023.45,DERIVED,17.603,DERIVED,285.38,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Nagoya,REAL, Hamburg,REAL,4816.65,DERIVED,17.603,DERIVED,273.63,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Shanghai,REAL,496.35,DERIVED,17.603,DERIVED,28.2,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Hong Kong,REAL,834.18,DERIVED,17.603,DERIVED,47.39,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Guangzhou,REAL,858.96,DERIVED,17.603,DERIVED,48.8,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Singapore,REAL,2046.02,DERIVED,17.603,DERIVED,116.23,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Suez Canal,REAL,4957.25,DERIVED,17.603,DERIVED,281.62,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Antwerp,REAL,5370.45,DERIVED,17.603,DERIVED,305.09,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Plymouth,REAL,5640.14,DERIVED,17.603,DERIVED,320.41,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, London,REAL,5465.1,DERIVED,17.603,DERIVED,310.47,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Rotterdam,REAL,5352.77,DERIVED,17.603,DERIVED,304.09,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Hamburg,REAL,5130.07,DERIVED,17.603,DERIVED,291.43,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Shanghai,REAL, Hong Kong,REAL,656.19,DERIVED,17.603,DERIVED,37.28,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
