origin_port,origin_lat,origin_lon,dest_port,dest_lat,dest_lon,distance_nm,distance_status,speed_kn_assumed,speed_status,voyage_time_hours,voyage_time_status,cargo_tonnage,notes
Yohohama,35.45059,139.6474, Nagoya,35.08033,136.88011,137.46,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",7.81,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
Yohohama,35.45059,139.6474, Busan,25.10441,129.04254,828.46,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",47.06,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
Yohohama,35.45059,139.6474, Shanghai,30.63495,122.08602,928.4,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",52.74,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
Yohohama,35.45059,139.6474, Hong Kong,22.30315,114.17131,1547.58,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",87.92,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
Yohohama,35.45059,139.6474, Guangzhou,23.06615,113.52254,1550.3,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",88.07,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
Yohohama,35.45059,139.6474, Singapore,1.29596,103.77475,2863.76,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",162.69,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
Yohohama,35.45059,139.6474, Suez Canal,31.20803,32.33719,5082.51,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",288.73,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
Yohohama,35.45059,139.6474, Antwerp,51.33325,4.39964,5088.73,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",289.09,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
Yohohama,35.45059,139.6474, Plymouth,50.3649,-4.15904,5309.7,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",301.64,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
Yohohama,35.45059,139.6474, London,51.58018,0.54659,5156.48,DERIVED (haversine of REAL fig2_port_coordinates.csv lat/lon),17.603,"DERIVED (REAL ship_performance.csv fleet-wide mean Speed_Over_Ground_knots, NOT route-specific)",292.93,DERIVED = distance_nm / speed_kn_assumed,SCENARIO_INPUT,Port pair drawn from fig2_port_coordinates.csv (13 real East-Asia ports plotted together on a real route/map figure). No real observed OD (origin-destination) traffic volume exists in the source data for this specific pair; only geographic distance is real/derived.
